word,count
tone,at,least,1
at,least,theres,1
least,theres,no,1
theres,no,room,1
no,room,to,1
room,to,grow,1
grow,up,any,1
up,any,more,1
any,more,HERE,1
more,HERE,But,1
HERE,But,then,1
But,then,thought,1
then,thought,Alice,1
thought,Alice,shall,1
Alice,shall,I,1
shall,I,NEVER,1
I,NEVER,get,1
NEVER,get,any,1
get,any,older,1
any,older,than,1
older,than,I,1
than,I,am,1
I,am,now,1
am,now,Thatll,1
now,Thatll,be,1
Thatll,be,a,1
be,a,comfort,1
a,comfort,one,1
comfort,one,waynever,1
one,waynever,to,1
waynever,to,be,1
to,be,an,1
be,an,old,1
an,old,womanbut,1
old,womanbut,thenalways,1
womanbut,thenalways,to,1
thenalways,to,have,1
to,have,lessons,1
have,lessons,to,1
to,learn,Oh,1
learn,Oh,I,1
Oh,I,shouldnt,1
I,shouldnt,like,1
shouldnt,like,THAT,1
like,THAT,Oh,1
THAT,Oh,you,1
Oh,you,foolish,1
you,foolish,Alice,1
foolish,Alice,she,1
Alice,she,answered,1
she,answered,herself,1
answered,herself,How,1
herself,How,can,1
How,can,you,1
can,you,learn,1
you,learn,lessons,1
learn,lessons,in,1
lessons,in,here,1
in,here,Why,1
here,Why,theres,1
theres,hardly,room,1
hardly,room,for,1
room,for,YOU,1
for,YOU,and,1
YOU,and,no,1
and,no,room,1
no,room,at,1
room,at,all,1
at,all,for,1
all,for,any,1
for,any,lessonbooks,1
any,lessonbooks,And,1
lessonbooks,And,so,1
And,so,she,1
went,on,taking,1
on,taking,first,1
taking,first,one,1
first,one,side,1
side,and,then,1
then,the,other,1
other,and,making,1
quite,a,conversation,1
a,conversation,of,1
conversation,of,it,1
of,it,altogether,1
it,altogether,but,1
altogether,but,after,1
but,after,a,1
few,minutes,she,1
minutes,she,heard,1
heard,a,voice,1
a,voice,outside,1
voice,outside,and,1
outside,and,stopped,1
and,stopped,to,1
stopped,to,listen,1
to,listen,Mary,1
listen,Mary,Ann,1
Mary,Ann,Mary,1
Ann,Mary,Ann,1
Mary,Ann,said,1
Ann,said,the,1
said,the,voice,1
the,voice,Fetch,1
voice,Fetch,me,1
Fetch,me,my,1
me,my,gloves,1
my,gloves,this,1
gloves,this,moment,1
this,moment,Then,1
moment,Then,came,1
Then,came,a,1
of,feet,on,1
feet,on,the,1
on,the,stairs,1
the,stairs,Alice,1
stairs,Alice,knew,1
Alice,knew,it,1
knew,it,was,1
was,the,Rabbit,1
the,Rabbit,coming,1
Rabbit,coming,to,1
coming,to,look,1
to,look,for,1
look,for,her,1
for,her,and,1
her,and,she,1
and,she,trembled,1
she,trembled,till,1
trembled,till,she,1
till,she,shook,1
she,shook,the,1
shook,the,house,1
the,house,quite,1
house,quite,forgetting,1
quite,forgetting,that,1
forgetting,that,she,1
now,about,a,1
about,a,thousand,1
a,thousand,times,1
thousand,times,as,1
times,as,large,1
large,as,the,1
as,the,Rabbit,1
the,Rabbit,and,1
Rabbit,and,had,1
and,had,no,1
had,no,reason,1
no,reason,to,1
reason,to,be,1
to,be,afraid,1
afraid,of,it,1
of,it,Presently,1
it,Presently,the,1
Presently,the,Rabbit,1
Rabbit,came,up,1
door,and,tried,1
tried,to,open,1
to,open,it,1
open,it,but,1
it,but,as,1
but,as,the,1
as,the,door,1
the,door,opened,1
door,opened,inwards,1
opened,inwards,and,1
inwards,and,Alices,1
and,Alices,elbow,1
Alices,elbow,was,1
elbow,was,pressed,1
was,pressed,hard,1
pressed,hard,against,1
hard,against,it,1
against,it,that,1
it,that,attempt,1
that,attempt,proved,1
attempt,proved,a,1
proved,a,failure,1
a,failure,Alice,1
failure,Alice,heard,1
Alice,heard,it,1
heard,it,say,1
it,say,to,1
to,itself,Then,1
itself,Then,Ill,1
Then,Ill,go,1
Ill,go,round,1
go,round,and,1
round,and,get,1
and,get,in,1
the,window,THAT,1
window,THAT,you,1
THAT,you,wont,1
you,wont,thought,1
wont,thought,Alice,1
Alice,and,after,1
and,after,waiting,1
after,waiting,till,1
waiting,till,she,1
till,she,fancied,1
she,fancied,she,1
fancied,she,heard,1
the,Rabbit,just,1
Rabbit,just,under,1
just,under,the,1
under,the,window,1
the,window,she,1
window,she,suddenly,1
she,suddenly,spread,1
suddenly,spread,out,1
hand,and,made,1
and,made,a,1
made,a,snatch,1
a,snatch,in,1
the,air,She,1
air,She,did,1
She,did,not,1
not,get,hold,1
hold,of,anything,1
of,anything,but,1
anything,but,she,1
but,she,heard,1
shriek,and,a,1
and,a,fall,1
a,fall,and,1
fall,and,a,1
and,a,crash,1
a,crash,of,1
crash,of,broken,1
broken,glass,from,1
glass,from,which,1
from,which,she,1
which,she,concluded,1
she,concluded,that,1
concluded,that,it,1
it,was,just,1
was,just,possible,1
just,possible,it,1
possible,it,had,1
it,had,fallen,1
fallen,into,a,1
into,a,cucumberframe,1
a,cucumberframe,or,1
cucumberframe,or,something,1
or,something,of,1
something,of,the,1
the,sort,Next,1
sort,Next,came,1
Next,came,an,1
came,an,angry,1
an,angry,voicethe,1
angry,voicethe,RabbitsPat,1
voicethe,RabbitsPat,Pat,1
RabbitsPat,Pat,Where,1
Pat,Where,are,1
Where,are,you,1
are,you,And,1
you,And,then,1
And,then,a,1
then,a,voice,1
a,voice,she,1
voice,she,had,1
had,never,heard,1
never,heard,before,1
heard,before,Sure,1
before,Sure,then,1
Sure,then,Im,1
then,Im,here,1
Im,here,Digging,1
here,Digging,for,1
for,apples,yer,1
apples,yer,honour,1
yer,honour,Digging,1
honour,Digging,for,1
for,apples,indeed,1
apples,indeed,said,1
the,Rabbit,angrily,1
Rabbit,angrily,Here,1
angrily,Here,Come,1
Here,Come,and,1
Come,and,help,1
and,help,me,1
help,me,out,1
out,of,THIS,1
of,THIS,Sounds,1
THIS,Sounds,of,1
Sounds,of,more,1
of,more,broken,1
more,broken,glass,1
broken,glass,Now,1
glass,Now,tell,1
Now,tell,me,1
tell,me,Pat,1
me,Pat,whats,1
Pat,whats,that,1
whats,that,in,1
that,in,the,1
the,window,Sure,1
window,Sure,its,1
Sure,its,an,1
an,arm,yer,1
arm,yer,honour,1
yer,honour,He,1
honour,He,pronounced,1
He,pronounced,it,1
pronounced,it,arrum,1
it,arrum,An,1
arrum,An,arm,1
An,arm,you,1
arm,you,goose,1
you,goose,Who,1
goose,Who,ever,1
Who,ever,saw,1
ever,saw,one,1
saw,one,that,1
one,that,size,1
that,size,Why,1
size,Why,it,1
Why,it,fills,1
it,fills,the,1
fills,the,whole,1
the,whole,window,1
whole,window,Sure,1
window,Sure,it,1
Sure,it,does,1
it,does,yer,1
does,yer,honour,1
yer,honour,but,1
honour,but,its,1
but,its,an,1
an,arm,for,1
arm,for,all,1
for,all,that,1
all,that,Well,1
that,Well,its,1
Well,its,got,1
its,got,no,1
got,no,business,1
no,business,there,1
business,there,at,1
there,at,any,1
any,rate,go,1
rate,go,and,1
go,and,take,1
and,take,it,1
take,it,away,1
it,away,There,1
away,There,was,1
was,a,long,1
a,long,silence,1
long,silence,after,1
silence,after,this,1
after,this,and,1
this,and,Alice,1
and,Alice,could,1
Alice,could,only,1
could,only,hear,1
only,hear,whispers,1
hear,whispers,now,1
whispers,now,and,1
and,then,such,1
then,such,as,1
such,as,Sure,1
as,Sure,I,1
Sure,I,dont,1
dont,like,it,1
like,it,yer,1
it,yer,honour,1
yer,honour,at,1
honour,at,all,1
at,all,at,1
all,at,all,1
at,all,Do,1
all,Do,as,1
Do,as,I,1
as,I,tell,1
tell,you,you,1
you,you,coward,1
you,coward,and,1
coward,and,at,1
and,at,last,1
last,she,spread,1
she,spread,out,1
her,hand,again,1
hand,again,and,1
again,and,made,1
and,made,another,1
made,another,snatch,1
another,snatch,in,1
the,air,This,1
air,This,time,1
there,were,TWO,1
were,TWO,little,1
TWO,little,shrieks,1
little,shrieks,and,1
shrieks,and,more,1
and,more,sounds,1
more,sounds,of,1
sounds,of,broken,1
broken,glass,What,1
glass,What,a,1
What,a,number,1
number,of,cucumberframes,1
of,cucumberframes,there,1
cucumberframes,there,must,1
there,must,be,1
must,be,thought,1
be,thought,Alice,1
Alice,I,wonder,1
wonder,what,theyll,1
what,theyll,do,1
theyll,do,next,1
do,next,As,1
next,As,for,1
As,for,pulling,1
for,pulling,me,1
pulling,me,out,1
the,window,I,1
window,I,only,1
only,wish,they,1
wish,they,COULD,1
they,COULD,Im,1
COULD,Im,sure,1
sure,I,dont,1
want,to,stay,1
to,stay,in,1
stay,in,here,1
in,here,any,1
here,any,longer,1
any,longer,She,1
longer,She,waited,1
She,waited,for,1
waited,for,some,1
time,without,hearing,1
without,hearing,anything,1
hearing,anything,more,1
anything,more,at,1
more,at,last,1
at,last,came,1
last,came,a,1
came,a,rumbling,1
a,rumbling,of,1
rumbling,of,little,1
of,little,cartwheels,1
little,cartwheels,and,1
cartwheels,and,the,1
and,the,sound,1
the,sound,of,1
sound,of,a,1
of,a,good,1
good,many,voices,1
many,voices,all,1
voices,all,talking,1
all,talking,together,1
talking,together,she,1
together,she,made,1
out,the,words,1
the,words,Wheres,1
words,Wheres,the,1
Wheres,the,other,1
the,other,ladderWhy,1
other,ladderWhy,I,1
ladderWhy,I,hadnt,1
I,hadnt,to,1
hadnt,to,bring,1
to,bring,but,1
bring,but,one,1
but,one,Bills,1
one,Bills,got,1
Bills,got,the,1
got,the,otherBill,1
the,otherBill,fetch,1
otherBill,fetch,it,1
fetch,it,here,1
it,here,ladHere,1
here,ladHere,put,1
ladHere,put,em,1
put,em,up,1
em,up,at,1
up,at,this,1
at,this,cornerNo,1
this,cornerNo,tie,1
cornerNo,tie,em,1
tie,em,together,1
em,together,firstthey,1
together,firstthey,dont,1
firstthey,dont,reach,1
dont,reach,half,1
reach,half,high,1
half,high,enough,1
high,enough,yetOh,1
enough,yetOh,theyll,1
yetOh,theyll,do,1
theyll,do,well,1
do,well,enough,1
well,enough,dont,1
enough,dont,be,1
dont,be,particularHere,1
be,particularHere,Bill,1
particularHere,Bill,catch,1
Bill,catch,hold,1
catch,hold,of,1
hold,of,this,1
of,this,ropeWill,1
this,ropeWill,the,1
ropeWill,the,roof,1
the,roof,bearMind,1
roof,bearMind,that,1
bearMind,that,loose,1
that,loose,slateOh,1
loose,slateOh,its,1
slateOh,its,coming,1
its,coming,down,1
coming,down,Heads,1
down,Heads,below,1
Heads,below,a,1
below,a,loud,1
a,loud,crashNow,1
loud,crashNow,who,1
crashNow,who,did,1
who,did,thatIt,1
did,thatIt,was,1
thatIt,was,Bill,1
was,Bill,I,1
Bill,I,fancyWhos,1
I,fancyWhos,to,1
fancyWhos,to,go,1
down,the,chimneyNay,1
the,chimneyNay,I,1
chimneyNay,I,shant,1
I,shant,YOU,1
shant,YOU,do,1
YOU,do,itThat,1
do,itThat,I,1
itThat,I,wont,1
I,wont,thenBills,1
wont,thenBills,to,1
thenBills,to,go,1
to,go,downHere,1
go,downHere,Bill,1
downHere,Bill,the,1
Bill,the,master,1
the,master,says,1
master,says,youre,1
says,youre,to,1
youre,to,go,1
the,chimney,Oh,1
chimney,Oh,So,1
Oh,So,Bills,1
So,Bills,got,1
Bills,got,to,1
got,to,come,1
to,come,down,1
come,down,the,1
the,chimney,has,1
chimney,has,he,1
has,he,said,1
he,said,Alice,1
to,herself,Shy,1
herself,Shy,they,1
Shy,they,seem,1
they,seem,to,1
seem,to,put,1
to,put,everything,1
put,everything,upon,1
everything,upon,Bill,1
upon,Bill,I,1
Bill,I,wouldnt,1
I,wouldnt,be,1
wouldnt,be,in,1
be,in,Bills,1
in,Bills,place,1
Bills,place,for,1
place,for,a,1
for,a,good,1
good,deal,this,1
deal,this,fireplace,1
this,fireplace,is,1
fireplace,is,narrow,1
is,narrow,to,1
narrow,to,be,1
be,sure,but,1
sure,but,I,1
but,I,THINK,1
I,THINK,I,1
THINK,I,can,1
I,can,kick,1
can,kick,a,1
kick,a,little,1
a,little,She,1
little,She,drew,1
She,drew,her,1
drew,her,foot,1
her,foot,as,1
foot,as,far,1
as,far,down,1
far,down,the,1
the,chimney,as,1
chimney,as,she,1
could,and,waited,1
and,waited,till,1
waited,till,she,1
till,she,heard,1
a,little,animal,1
little,animal,she,1
animal,she,couldnt,1
she,couldnt,guess,1
couldnt,guess,of,1
guess,of,what,1
of,what,sort,1
what,sort,it,1
sort,it,was,1
it,was,scratching,1
was,scratching,and,1
scratching,and,scrambling,1
and,scrambling,about,1
scrambling,about,in,1
in,the,chimney,1
the,chimney,close,1
chimney,close,above,1
close,above,her,1
above,her,then,1
her,then,saying,1
then,saying,to,1
to,herself,This,1
herself,This,is,1
This,is,Bill,1
is,Bill,she,1
Bill,she,gave,1
she,gave,one,1
gave,one,sharp,1
one,sharp,kick,1
sharp,kick,and,1
kick,and,waited,1
and,waited,to,1
waited,to,see,1
see,what,would,1
happen,next,The,1
next,The,first,1
first,thing,she,1
thing,she,heard,1
she,heard,was,1
heard,was,a,1
a,general,chorus,1
general,chorus,of,1
chorus,of,There,1
of,There,goes,1
There,goes,Bill,1
goes,Bill,then,1
Bill,then,the,1
then,the,Rabbits,1
Rabbits,voice,alongCatch,1
voice,alongCatch,him,1
alongCatch,him,you,1
him,you,by,1
you,by,the,1
by,the,hedge,1
the,hedge,then,1
hedge,then,silence,1
then,silence,and,1
silence,and,then,1
and,then,another,1
then,another,confusion,1
another,confusion,of,1
confusion,of,voicesHold,1
of,voicesHold,up,1
voicesHold,up,his,1
up,his,headBrandy,1
his,headBrandy,nowDont,1
headBrandy,nowDont,choke,1
nowDont,choke,himHow,1
choke,himHow,was,1
himHow,was,it,1
was,it,old,1
it,old,fellow,1
old,fellow,What,1
fellow,What,happened,1
What,happened,to,1
happened,to,you,1
to,you,Tell,1
you,Tell,us,1
Tell,us,all,1
us,all,about,1
all,about,it,1
about,it,Last,1
it,Last,came,1
Last,came,a,1
a,little,feeble,1
little,feeble,squeaking,1
feeble,squeaking,voice,1
squeaking,voice,Thats,1
voice,Thats,Bill,1
Thats,Bill,thought,1
Bill,thought,Alice,1
thought,Alice,Well,1
Well,I,hardly,1
I,hardly,knowNo,1
hardly,knowNo,more,1
knowNo,more,thank,1
more,thank,ye,1
thank,ye,Im,1
ye,Im,better,1
Im,better,nowbut,1
better,nowbut,Im,1
nowbut,Im,a,1
Im,a,deal,1
a,deal,too,1
deal,too,flustered,1
too,flustered,to,1
flustered,to,tell,1
to,tell,youall,1
tell,youall,I,1
youall,I,know,1
know,is,something,1
is,something,comes,1
something,comes,at,1
comes,at,me,1
me,like,a,1
like,a,Jackinthebox,1
a,Jackinthebox,and,1
Jackinthebox,and,up,1
and,up,I,1
up,I,goes,1
I,goes,like,1
goes,like,a,1
like,a,skyrocket,1
a,skyrocket,So,1
skyrocket,So,you,1
So,you,did,1
you,did,old,1
did,old,fellow,1
old,fellow,said,1
fellow,said,the,1
said,the,others,1
the,others,We,1
others,We,must,1
We,must,burn,1
must,burn,the,1
burn,the,house,1
the,house,down,1
house,down,said,1
down,said,the,1
said,the,Rabbits,1
Rabbits,voice,and,1
voice,and,Alice,1
and,Alice,called,1
Alice,called,out,1
called,out,as,1
out,as,loud,1
as,loud,as,1
loud,as,she,1
she,could,If,1
could,If,you,1
you,do,Ill,1
do,Ill,set,1
Ill,set,Dinah,1
set,Dinah,at,1
Dinah,at,you,1
at,you,There,1
you,There,was,1
dead,silence,instantly,1
silence,instantly,and,1
instantly,and,Alice,1
and,Alice,thought,1
herself,I,wonder,1
wonder,what,they,1
what,they,WILL,1
they,WILL,do,1
WILL,do,next,1
do,next,If,1
next,If,they,1
If,they,had,1
they,had,any,1
had,any,sense,1
any,sense,theyd,1
sense,theyd,take,1
theyd,take,the,1
take,the,roof,1
the,roof,off,1
roof,off,After,1
off,After,a,1
After,a,minute,1
or,two,they,1
two,they,began,1
they,began,moving,1
began,moving,about,1
moving,about,again,1
about,again,and,1
and,Alice,heard,1
Rabbit,say,A,1
say,A,barrowful,1
A,barrowful,will,1
barrowful,will,do,1
will,do,to,1
do,to,begin,1
begin,with,A,1
with,A,barrowful,1
A,barrowful,of,1
barrowful,of,WHAT,1
Alice,but,she,1
had,not,long,1
not,long,to,1
long,to,doubt,1
to,doubt,for,1
doubt,for,the,1
for,the,next,1
next,moment,a,1
moment,a,shower,1
shower,of,little,1
of,little,pebbles,1
little,pebbles,came,1
pebbles,came,rattling,1
came,rattling,in,1
rattling,in,at,1
window,and,some,1
and,some,of,1
of,them,hit,1
them,hit,her,1
hit,her,in,1
her,in,the,1
in,the,face,1
the,face,Ill,1
face,Ill,put,1
Ill,put,a,1
put,a,stop,1
a,stop,to,1
stop,to,this,1
to,this,she,1
this,she,said,1
herself,and,shouted,1
and,shouted,out,1
shouted,out,Youd,1
out,Youd,better,1
Youd,better,not,1
better,not,do,1
not,do,that,1
do,that,again,1
that,again,which,1
again,which,produced,1
which,produced,another,1
produced,another,dead,1
another,dead,silence,1
dead,silence,Alice,1
silence,Alice,noticed,1
Alice,noticed,with,1
noticed,with,some,1
with,some,surprise,1
some,surprise,that,1
surprise,that,the,1
that,the,pebbles,1
the,pebbles,were,1
pebbles,were,all,1
were,all,turning,1
all,turning,into,1
turning,into,little,1
into,little,cakes,1
little,cakes,as,1
cakes,as,they,1
as,they,lay,1
they,lay,on,1
lay,on,the,1
the,floor,and,1
floor,and,a,1
and,a,bright,1
a,bright,idea,1
came,into,her,1
into,her,head,1
her,head,If,1
head,If,I,1
If,I,eat,1
I,eat,one,1
eat,one,of,1
one,of,these,1
of,these,cakes,1
these,cakes,she,1
cakes,she,thought,1
she,thought,its,1
thought,its,sure,1
its,sure,to,1
sure,to,make,1
to,make,SOME,1
make,SOME,change,1
SOME,change,in,1
change,in,my,1
in,my,size,1
my,size,and,1
size,and,as,1
as,it,cant,1
it,cant,possibly,1
cant,possibly,make,1
possibly,make,me,1
make,me,larger,1
me,larger,it,1
larger,it,must,1
it,must,make,1
must,make,me,1
make,me,smaller,1
me,smaller,I,1
smaller,I,suppose,1
I,suppose,So,1
suppose,So,she,1
So,she,swallowed,1
she,swallowed,one,1
swallowed,one,of,1
of,the,cakes,1
the,cakes,and,1
cakes,and,was,1
she,began,shrinking,1
began,shrinking,directly,1
shrinking,directly,As,1
directly,As,soon,1
she,was,small,1
was,small,enough,1
small,enough,to,1
enough,to,get,1
get,through,the,1
through,the,door,1
door,she,ran,1
she,ran,out,1
ran,out,of,1
house,and,found,1
and,found,quite,1
found,quite,a,1
quite,a,crowd,1
a,crowd,of,1
crowd,of,little,1
of,little,animals,1
little,animals,and,1
animals,and,birds,1
and,birds,waiting,1
birds,waiting,outside,1
waiting,outside,The,1
outside,The,poor,1
poor,little,Lizard,1
little,Lizard,Bill,1
Lizard,Bill,was,1
Bill,was,in,1
the,middle,being,1
middle,being,held,1
being,held,up,1
held,up,by,1
up,by,two,1
by,two,guineapigs,1
two,guineapigs,who,1
guineapigs,who,were,1
who,were,giving,1
were,giving,it,1
giving,it,something,1
it,something,out,1
something,out,of,1
of,a,bottle,1
a,bottle,They,1
bottle,They,all,1
They,all,made,1
all,made,a,1
made,a,rush,1
a,rush,at,1
rush,at,Alice,1
at,Alice,the,1
Alice,the,moment,1
she,appeared,but,1
appeared,but,she,1
but,she,ran,1
ran,off,as,1
off,as,hard,1
hard,as,she,1
could,and,soon,1
and,soon,found,1
soon,found,herself,1
found,herself,safe,1
herself,safe,in,1
safe,in,a,1
in,a,thick,1
a,thick,wood,1
thick,wood,The,1
wood,The,first,1
first,thing,Ive,1
thing,Ive,got,1
got,to,do,1
as,she,wandered,1
she,wandered,about,1
wandered,about,in,1
the,wood,is,1
wood,is,to,1
is,to,grow,1
to,grow,to,1
grow,to,my,1
right,size,again,1
size,again,and,1
and,the,second,1
the,second,thing,1
second,thing,is,1
is,to,find,1
to,find,my,1
find,my,way,1
my,way,into,1
way,into,that,1
lovely,garden,I,1
garden,I,think,1
I,think,that,1
think,that,will,1
that,will,be,1
will,be,the,1
be,the,best,1
the,best,plan,1
best,plan,It,1
plan,It,sounded,1
It,sounded,an,1
sounded,an,excellent,1
an,excellent,plan,1
excellent,plan,no,1
plan,no,doubt,1
no,doubt,and,1
doubt,and,very,1
and,very,neatly,1
very,neatly,and,1
neatly,and,simply,1
and,simply,arranged,1
simply,arranged,the,1
arranged,the,only,1
had,not,the,1
the,smallest,idea,1
smallest,idea,how,1
idea,how,to,1
how,to,set,1
to,set,about,1
set,about,it,1
it,and,while,1
and,while,she,1
she,was,peering,1
was,peering,about,1
peering,about,anxiously,1
about,anxiously,among,1
anxiously,among,the,1
the,trees,a,1
trees,a,little,1
a,little,sharp,1
little,sharp,bark,1
sharp,bark,just,1
bark,just,over,1
just,over,her,1
over,her,head,1
her,head,made,1
head,made,her,1
made,her,look,1
her,look,up,1
great,hurry,An,1
hurry,An,enormous,1
An,enormous,puppy,1
enormous,puppy,was,1
puppy,was,looking,1
was,looking,down,1
looking,down,at,1
at,her,with,1
her,with,large,1
with,large,round,1
large,round,eyes,1
round,eyes,and,1
eyes,and,feebly,1
and,feebly,stretching,1
feebly,stretching,out,1
stretching,out,one,1
out,one,paw,1
one,paw,trying,1
paw,trying,to,1
trying,to,touch,1
to,touch,her,1
touch,her,Poor,1
her,Poor,little,1
Poor,little,thing,1
little,thing,said,1
thing,said,Alice,1
in,a,coaxing,1
a,coaxing,tone,1
coaxing,tone,and,1
tone,and,she,1
she,tried,hard,1
tried,hard,to,1
hard,to,whistle,1
to,whistle,to,1
whistle,to,it,1
to,it,but,1
it,but,she,1
but,she,was,1
she,was,terribly,1
was,terribly,frightened,1
terribly,frightened,all,1
frightened,all,the,1
the,time,at,1
time,at,the,1
thought,that,it,1
it,might,be,1
might,be,hungry,1
be,hungry,in,1
hungry,in,which,1
in,which,case,1
which,case,it,1
case,it,would,1
would,be,very,1
be,very,likely,1
very,likely,to,1
likely,to,eat,1
to,eat,her,1
eat,her,up,1
her,up,in,1
up,in,spite,1
in,spite,of,1
spite,of,all,1
of,all,her,1
all,her,coaxing,1
her,coaxing,Hardly,1
coaxing,Hardly,knowing,1
Hardly,knowing,what,1
knowing,what,she,1
what,she,did,1
she,did,she,1
did,she,picked,1
she,picked,up,1
picked,up,a,1
up,a,little,1
little,bit,of,1
bit,of,stick,1
of,stick,and,1
stick,and,held,1
and,held,it,1
held,it,out,1
out,to,the,1
to,the,puppy,1
the,puppy,whereupon,1
puppy,whereupon,the,1
whereupon,the,puppy,1
the,puppy,jumped,1
puppy,jumped,into,1
jumped,into,the,1
the,air,off,1
air,off,all,1
off,all,its,1
all,its,feet,1
its,feet,at,1
feet,at,once,1
at,once,with,1
once,with,a,1
with,a,yelp,1
a,yelp,of,1
yelp,of,delight,1
of,delight,and,1
delight,and,rushed,1
and,rushed,at,1
rushed,at,the,1
stick,and,made,1
and,made,believe,1
made,believe,to,1
believe,to,worry,1
to,worry,it,1
worry,it,then,1
then,Alice,dodged,1
Alice,dodged,behind,1
dodged,behind,a,1
behind,a,great,1
a,great,thistle,1
great,thistle,to,1
thistle,to,keep,1
to,keep,herself,1
keep,herself,from,1
herself,from,being,1
from,being,run,1
being,run,over,1
run,over,and,1
over,and,the,1
and,the,moment,1
she,appeared,on,1
appeared,on,the,1
on,the,other,1
other,side,the,1
side,the,puppy,1
the,puppy,made,1
puppy,made,another,1
made,another,rush,1
another,rush,at,1
rush,at,the,1
stick,and,tumbled,1
and,tumbled,head,1
tumbled,head,over,1
head,over,heels,1
over,heels,in,1
heels,in,its,1
in,its,hurry,1
its,hurry,to,1
hurry,to,get,1
to,get,hold,1
hold,of,it,1
of,it,then,1
then,Alice,thinking,1
Alice,thinking,it,1
thinking,it,was,1
was,very,like,1
very,like,having,1
like,having,a,1
having,a,game,1
game,of,play,1
of,play,with,1
play,with,a,1
with,a,carthorse,1
a,carthorse,and,1
carthorse,and,expecting,1
and,expecting,every,1
expecting,every,moment,1
every,moment,to,1
to,be,trampled,1
be,trampled,under,1
trampled,under,its,1
under,its,feet,1
its,feet,ran,1
feet,ran,round,1
ran,round,the,1
round,the,thistle,1
the,thistle,again,1
thistle,again,then,1
again,then,the,1
then,the,puppy,1
the,puppy,began,1
puppy,began,a,1
began,a,series,1
a,series,of,1
series,of,short,1
of,short,charges,1
short,charges,at,1
charges,at,the,1
the,stick,running,1
stick,running,a,1
running,a,very,1
very,little,way,1
little,way,forwards,1
way,forwards,each,1
forwards,each,time,1
each,time,and,1
time,and,a,1
and,a,long,1
long,way,back,1
way,back,and,1
back,and,barking,1
and,barking,hoarsely,1
barking,hoarsely,all,1
hoarsely,all,the,1
the,while,till,1
while,till,at,1
till,at,last,1
last,it,sat,1
it,sat,down,1
sat,down,a,1
down,a,good,1
a,good,way,1
good,way,off,1
way,off,panting,1
off,panting,with,1
panting,with,its,1
with,its,tongue,1
its,tongue,hanging,1
tongue,hanging,out,1
hanging,out,of,1
mouth,and,its,1
and,its,great,1
its,great,eyes,1
great,eyes,half,1
eyes,half,shut,1
half,shut,This,1
shut,This,seemed,1
This,seemed,to,1
to,Alice,a,1
opportunity,for,making,1
for,making,her,1
making,her,escape,1
her,escape,so,1
escape,so,she,1
she,set,off,1
set,off,at,1
once,and,ran,1
and,ran,till,1
ran,till,she,1
was,quite,tired,1
quite,tired,and,1
tired,and,out,1
and,out,of,1
breath,and,till,1
and,till,the,1
till,the,puppys,1
the,puppys,bark,1
puppys,bark,sounded,1
bark,sounded,quite,1
sounded,quite,faint,1
quite,faint,in,1
faint,in,the,1
the,distance,And,1
distance,And,yet,1
And,yet,what,1
yet,what,a,1
what,a,dear,1
a,dear,little,1
dear,little,puppy,1
little,puppy,it,1
puppy,it,was,1
was,said,Alice,1
as,she,leant,1
she,leant,against,1
leant,against,a,1
against,a,buttercup,1
a,buttercup,to,1
buttercup,to,rest,1
to,rest,herself,1
rest,herself,and,1
herself,and,fanned,1
and,fanned,herself,1
fanned,herself,with,1
herself,with,one,1
of,the,leaves,1
the,leaves,I,1
leaves,I,should,1
should,have,liked,1
have,liked,teaching,1
liked,teaching,it,1
teaching,it,tricks,1
it,tricks,very,1
tricks,very,much,1
very,much,ifif,1
much,ifif,Id,1
ifif,Id,only,1
Id,only,been,1
only,been,the,1
been,the,right,1
right,size,to,1
size,to,do,1
do,it,Oh,1
it,Oh,dear,1
Oh,dear,Id,1
dear,Id,nearly,1
nearly,forgotten,that,1
forgotten,that,Ive,1
that,Ive,got,1
got,to,grow,1
grow,up,again,1
up,again,Let,1
again,Let,me,1
Let,me,seehow,1
me,seehow,IS,1
seehow,IS,it,1
IS,it,to,1
to,be,managed,1
be,managed,I,1
managed,I,suppose,1
I,suppose,I,1
suppose,I,ought,1
ought,to,eat,1
or,drink,something,1
drink,something,or,1
something,or,other,1
or,other,but,1
other,but,the,1
but,the,great,1
the,great,question,1
great,question,is,1
is,what,The,1
what,The,great,1
The,great,question,1
great,question,certainly,1
question,certainly,was,1
certainly,was,what,1
was,what,Alice,1
what,Alice,looked,1
round,her,at,1
her,at,the,1
at,the,flowers,1
the,flowers,and,1
flowers,and,the,1
and,the,blades,1
the,blades,of,1
blades,of,grass,1
of,grass,but,1
grass,but,she,1
did,not,see,1
not,see,anything,1
see,anything,that,1
anything,that,looked,1
that,looked,like,1
looked,like,the,1
like,the,right,1
the,right,thing,1
right,thing,to,1
thing,to,eat,1
or,drink,under,1
drink,under,the,1
under,the,circumstances,1
the,circumstances,There,1
circumstances,There,was,1
a,large,mushroom,1
large,mushroom,growing,1
mushroom,growing,near,1
growing,near,her,1
near,her,about,1
about,the,same,1
the,same,height,1
same,height,as,1
height,as,herself,1
as,herself,and,1
herself,and,when,1
she,had,looked,1
had,looked,under,1
looked,under,it,1
under,it,and,1
it,and,on,1
and,on,both,1
both,sides,of,1
it,and,behind,1
behind,it,it,1
it,it,occurred,1
that,she,might,1
as,well,look,1
