word,count
English,now,1
now,Im,1
Im,opening,1
opening,out,1
out,like,1
the,largest,1
largest,telescope,1
telescope,that,1
that,ever,1
was,Goodbye,1
Goodbye,feet,1
for,when,1
feet,they,1
they,seemed,1
be,almost,1
almost,out,1
sight,they,1
off,Oh,1
little,feet,1
wonder,who,1
who,will,1
will,put,1
your,shoes,1
shoes,and,1
and,stockings,1
stockings,for,1
you,now,1
now,dears,1
dears,Im,1
be,able,1
able,I,1
to,trouble,1
trouble,myself,1
myself,about,1
about,you,1
must,manage,1
manage,the,1
you,canbut,1
canbut,I,1
be,kind,1
kind,to,1
them,thought,1
Alice,or,1
or,perhaps,1
perhaps,they,1
they,wont,1
wont,walk,1
walk,the,1
go,Let,1
see,Ill,1
give,them,1
new,pair,1
of,boots,1
boots,every,1
every,Christmas,1
Christmas,And,1
on,planning,1
planning,to,1
would,manage,1
They,must,1
go,by,1
the,carrier,1
carrier,she,1
how,funny,1
seem,sending,1
sending,presents,1
presents,to,1
to,ones,1
ones,own,1
own,feet,1
feet,And,1
how,odd,1
odd,the,1
the,directions,1
directions,will,1
will,look,1
look,ALICES,1
ALICES,RIGHT,1
RIGHT,FOOT,1
FOOT,ESQ,1
ESQ,HEARTHRUG,1
HEARTHRUG,NEAR,1
NEAR,THE,1
THE,FENDER,1
FENDER,WITH,1
WITH,ALICES,1
ALICES,LOVE,1
LOVE,Oh,1
dear,what,1
what,nonsense,1
nonsense,Im,1
Im,talking,1
talking,Just,1
then,her,1
head,struck,1
struck,against,1
hall,in,1
fact,she,1
now,more,1
than,nine,1
she,at,1
once,took,1
garden,door,1
door,Poor,1
Poor,Alice,1
do,lying,1
look,through,1
through,into,1
garden,with,1
eye,but,1
through,was,1
more,hopeless,1
hopeless,than,1
ever,she,1
yourself,said,1
great,girl,1
girl,like,1
like,you,1
might,well,1
say,this,1
this,to,1
on,crying,1
crying,in,1
way,Stop,1
Stop,this,1
moment,I,1
you,But,1
on,all,1
same,shedding,1
shedding,gallons,1
gallons,of,1
tears,until,1
until,there,1
large,pool,1
pool,all,1
four,inches,1
inches,deep,1
deep,and,1
and,reaching,1
reaching,half,1
half,down,1
hall,After,1
she,hastily,1
hastily,dried,1
dried,her,1
eyes,to,1
coming,It,1
Rabbit,returning,1
returning,splendidly,1
splendidly,dressed,1
dressed,with,1
gloves,in,1
large,fan,1
fan,in,1
other,he,1
came,trotting,1
trotting,along,1
along,in,1
hurry,muttering,1
himself,as,1
came,Oh,1
Oh,the,1
Duchess,the,1
Oh,wont,1
wont,she,1
she,be,1
be,savage,1
savage,if,1
Ive,kept,1
her,waiting,1
waiting,Alice,1
felt,so,1
so,desperate,1
desperate,that,1
was,ready,1
ask,help,1
help,of,1
one,so,1
so,when,1
came,near,1
low,timid,1
voice,If,1
please,sir,1
sir,The,1
Rabbit,started,1
started,violently,1
violently,dropped,1
dropped,the,1
the,white,1
and,skurried,1
skurried,away,1
away,into,1
the,darkness,1
darkness,as,1
go,Alice,1
Alice,took,1
hall,was,1
very,hot,1
hot,she,1
kept,fanning,1
fanning,herself,1
herself,all,1
on,talking,1
talking,Dear,1
Dear,dear,1
dear,How,1
queer,everything,1
is,today,1
today,And,1
And,yesterday,1
yesterday,things,1
things,went,1
on,just,1
usual,I,1
Ive,been,1
changed,in,1
the,night,1
night,Let,1
me,think,1
think,was,1
I,the,1
same,when,1
morning,I,1
almost,think,1
can,remember,1
remember,feeling,1
feeling,a,1
little,different,1
different,But,1
But,if,1
same,the,1
next,question,1
is,Who,1
Who,in,1
world,am,1
I,Ah,1
Ah,THATS,1
THATS,the,1
great,puzzle,1
puzzle,And,1
the,children,1
that,were,1
were,of,1
same,age,1
age,as,1
them,Im,1
sure,Im,1
not,Ada,1
Ada,she,1
her,hair,1
hair,goes,1
goes,in,1
long,ringlets,1
ringlets,and,1
and,mine,1
mine,doesnt,1
doesnt,go,1
in,ringlets,1
ringlets,at,1
Mabel,for,1
things,and,1
she,oh,1
oh,she,1
she,knows,1
knows,such,1
little,Besides,1
Besides,SHES,1
SHES,she,1
she,and,1
Im,I,1
I,andoh,1
dear,how,1
how,puzzling,1
puzzling,it,1
all,is,1
is,Ill,1
try,if,1
things,I,1
know,Let,1
see,four,1
times,five,1
five,is,1
is,twelve,1
twelve,and,1
times,six,1
six,is,1
is,thirteen,1
thirteen,and,1
times,seven,1
seven,isoh,1
isoh,dear,1
shall,never,1
never,get,1
to,twenty,1
twenty,at,1
at,that,1
that,rate,1
rate,However,1
However,the,1
the,Multiplication,1
Multiplication,Table,1
Table,doesnt,1
doesnt,signify,1
signify,lets,1
try,Geography,1
Geography,London,1
London,is,1
of,Paris,1
Paris,and,1
and,Paris,1
Paris,is,1
of,Rome,1
Rome,and,1
and,Romeno,1
Romeno,THATS,1
THATS,all,1
all,wrong,1
wrong,Im,1
Im,certain,1
certain,I,1
for,Mabel,1
say,How,1
she,crossed,1
crossed,her,1
hands,on,1
her,lap,1
lap,as,1
saying,lessons,1
lessons,and,1
voice,sounded,1
sounded,hoarse,1
hoarse,and,1
and,strange,1
strange,and,1
words,did,1
not,come,1
come,the,1
do,How,1
little,crocodile,1
crocodile,Improve,1
Improve,his,1
his,shining,1
shining,tail,1
tail,And,1
And,pour,1
pour,the,1
the,waters,1
waters,of,1
the,Nile,1
Nile,On,1
On,every,1
every,golden,1
golden,scale,1
scale,How,1
How,cheerfully,1
cheerfully,he,1
he,seems,1
to,grin,1
grin,How,1
How,neatly,1
neatly,spread,1
spread,his,1
his,claws,1
claws,And,1
And,welcome,1
welcome,little,1
little,fishes,1
fishes,in,1
in,With,1
With,gently,1
gently,smiling,1
smiling,jaws,1
jaws,Im,1
sure,those,1
those,are,1
right,words,1
words,said,1
said,poor,1
eyes,filled,1
tears,again,1
Mabel,after,1
and,live,1
live,in,1
that,poky,1
poky,little,1
and,have,1
have,next,1
to,no,1
no,toys,1
toys,to,1
and,oh,1
oh,ever,1
ever,so,1
many,lessons,1
learn,No,1
No,Ive,1
Ive,made,1
made,up,1
up,my,1
my,mind,1
mind,about,1
it,if,1
Im,Mabel,1
here,Itll,1
Itll,be,1
use,their,1
their,putting,1
putting,their,1
saying,Come,1
Come,up,1
again,dear,1
shall,only,1
only,look,1
say,Who,1
Who,am,1
I,then,1
then,Tell,1
Tell,me,1
that,first,1
then,if,1
like,being,1
being,that,1
that,person,1
person,Ill,1
Ill,come,1
come,up,1
up,if,1
if,not,1
not,Ill,1
here,till,1
till,Im,1
Im,somebody,1
somebody,elsebut,1
elsebut,oh,1
oh,dear,1
sudden,burst,1
burst,of,1
tears,I,1
WOULD,put,1
put,their,1
am,so,1
VERY,tired,1
being,all,1
all,alone,1
alone,here,1
here,As,1
Rabbits,little,1
little,white,1
gloves,while,1
talking,How,1
How,CAN,1
thought,I,1
be,growing,1
growing,small,1
small,again,1
again,She,1
She,got,1
table,to,1
to,measure,1
measure,herself,1
herself,by,1
that,as,1
as,nearly,1
could,guess,1
guess,she,1
on,shrinking,1
rapidly,she,1
the,cause,1
cause,of,1
fan,she,1
was,holding,1
holding,and,1
she,dropped,1
dropped,it,1
it,hastily,1
hastily,just,1
to,avoid,1
avoid,shrinking,1
shrinking,away,1
away,altogether,1
altogether,That,1
That,WAS,1
a,narrow,1
narrow,escape,1
escape,said,1
frightened,at,1
the,sudden,1
herself,still,1
in,existence,1
existence,and,1
now,for,1
ran,with,1
all,speed,1
speed,back,1
door,but,1
alas,the,1
door,was,1
was,shut,1
shut,again,1
table,as,1
and,things,1
are,worse,1
worse,than,1
ever,thought,1
poor,child,1
child,for,1
so,small,1
small,as,1
this,before,1
before,never,1
never,And,1
And,I,1
I,declare,1
declare,its,1
its,too,1
too,bad,1
bad,that,1
is,As,1
said,these,1
words,her,1
foot,slipped,1
slipped,and,1
moment,splash,1
splash,she,1
was,up,1
chin,in,1
in,salt,1
water,Her,1
Her,first,1
first,idea,1
idea,was,1
had,somehow,1
somehow,fallen,1
sea,and,1
case,I,1
can,go,1
back,by,1
by,railway,1
railway,she,1
herself,Alice,1
the,seaside,1
seaside,once,1
life,and,1
the,general,1
general,conclusion,1
that,wherever,1
wherever,you,1
to,on,1
English,coast,1
coast,you,1
you,find,1
of,bathing,1
bathing,machines,1
machines,in,1
sea,some,1
some,children,1
children,digging,1
digging,in,1
the,sand,1
sand,with,1
with,wooden,1
wooden,spades,1
spades,then,1
of,lodging,1
lodging,houses,1
houses,and,1
behind,them,1
a,railway,1
railway,station,1
station,However,1
pool,of,1
tears,which,1
had,wept,1
wept,when,1
was,nine,1
high,I,1
hadnt,cried,1
cried,so,1
swam,about,1
about,trying,1
out,I,1
be,punished,1
punished,for,1
suppose,by,1
by,being,1
being,drowned,1
drowned,in,1
own,tears,1
tears,That,1
That,WILL,1
WILL,be,1
a,queer,1
queer,thing,1
sure,However,1
However,everything,1
is,queer,1
queer,today,1
today,Just,1
something,splashing,1
splashing,about,1
pool,a,1
swam,nearer,1
a,walrus,1
walrus,or,1
or,hippopotamus,1
hippopotamus,but,1
but,then,1
remembered,how,1
how,small,1
small,she,1
mouse,that,1
had,slipped,1
slipped,in,1
in,like,1
like,herself,1
herself,Would,1
Would,it,1
any,use,1
speak,to,1
this,mouse,1
mouse,Everything,1
Everything,is,1
is,so,1
so,outoftheway,1
outoftheway,down,1
here,that,1
think,very,1
likely,it,1
can,talk,1
talk,at,1
rate,theres,1
no,harm,1
harm,in,1
in,trying,1
trying,So,1
began,O,1
Mouse,do,1
this,pool,1
pool,I,1
am,very,1
of,swimming,1
swimming,about,1
here,O,1
Mouse,Alice,1
of,speaking,1
mouse,she,1
never,done,1
done,such,1
remembered,having,1
seen,in,1
her,brothers,1
brothers,Latin,1
Latin,Grammar,1
Grammar,A,1
A,mouseof,1
mouseof,a,1
a,mouseto,1
mouseto,a,1
a,mousea,1
mousea,mouseO,1
mouseO,mouse,1
mouse,The,1
Mouse,looked,1
her,rather,1
rather,inquisitively,1
inquisitively,and,1
to,wink,1
wink,with,1
its,little,1
little,eyes,1
eyes,but,1
nothing,Perhaps,1
doesnt,understand,1
understand,English,1
English,thought,1
I,daresay,1
daresay,its,1
a,French,1
French,mouse,1
mouse,come,1
come,over,1
with,William,1
Conqueror,For,1
For,with,1
knowledge,of,1
of,history,1
history,Alice,1
no,very,1
very,clear,1
clear,notion,1
how,long,1
ago,anything,1
anything,had,1
happened,So,1
again,Ou,1
Ou,est,1
est,ma,1
ma,chatte,1
chatte,which,1
first,sentence,1
sentence,in,1
her,French,1
French,lessonbook,1
lessonbook,The,1
Mouse,gave,1
sudden,leap,1
leap,out,1
the,water,1
water,and,1
to,quiver,1
quiver,all,1
with,fright,1
fright,Oh,1
hastily,afraid,1
had,hurt,1
hurt,the,1
poor,animals,1
animals,feelings,1
feelings,I,1
forgot,you,1
didnt,like,1
cats,Not,1
Not,like,1
cats,cried,1
shrill,passionate,1
passionate,voice,1
voice,Would,1
Would,YOU,1
YOU,like,1
were,me,1
me,Well,1
perhaps,not,1
a,soothing,1
soothing,tone,1
tone,dont,1
be,angry,1
angry,about,1
could,show,1
you,our,1
cat,Dinah,1
youd,take,1
take,a,1
a,fancy,1
to,cats,1
only,see,1
her,She,1
She,is,1
dear,quiet,1
quiet,thing,1
on,half,1
swam,lazily,1
lazily,about,1
she,sits,1
sits,purring,1
purring,so,1
so,nicely,1
nicely,by,1
fire,licking,1
licking,her,1
her,paws,1
paws,and,1
and,washing,1
washing,her,1
her,faceand,1
faceand,she,1
nice,soft,1
soft,thing,1
to,nurseand,1
nurseand,shes,1
catching,miceoh,1
miceoh,I,1
was,bristling,1
bristling,all,1
felt,certain,1
certain,it,1
be,really,1
really,offended,1
offended,We,1
We,wont,1
her,any,1
more,if,1
youd,rather,1
not,We,1
We,indeed,1
indeed,cried,1
was,trembling,1
trembling,down,1
his,tail,1
tail,As,1
I,would,1
would,talk,1
talk,on,1
on,such,1
a,subject,1
subject,Our,1
Our,family,1
family,always,1
always,HATED,1
HATED,cats,1
cats,nasty,1
nasty,low,1
low,vulgar,1
vulgar,things,1
things,Dont,1
me,hear,1
name,again,1
wont,indeed,1
conversation,Are,1
Are,youare,1
youare,you,1
you,fondofof,1
fondofof,dogs,1
dogs,The,1
eagerly,There,1
little,dog,1
dog,near,1
near,our,1
our,house,1
house,I,1
to,show,1
you,A,1
A,little,1
little,brighteyed,1
brighteyed,terrier,1
terrier,you,1
know,with,1
with,oh,1
oh,such,1
long,curly,1
curly,brown,1
brown,hair,1
hair,And,1
And,itll,1
itll,fetch,1
fetch,things,1
throw,them,1
and,itll,1
itll,sit,1
sit,up,1
and,beg,1
beg,for,1
for,its,1
its,dinner,1
dinner,and,1
of,thingsI,1
thingsI,cant,1
remember,half,1
of,themand,1
themand,it,1
it,belongs,1
a,farmer,1
farmer,you,1
know,and,1
he,says,1
says,its,1
its,so,1
so,useful,1
useful,its,1
its,worth,1
worth,a,1
a,hundred,1
hundred,pounds,1
pounds,He,1
He,says,1
says,it,1
it,kills,1
kills,all,1
the,rats,1
rats,andoh,1
tone,Im,1
afraid,Ive,1
Ive,offended,1
offended,it,1
again,For,1
was,swimming,1
swimming,away,1
from,her,1
it,could,1
a,commotion,1
commotion,in,1
pool,as,1
went,So,1
she,called,1
called,softly,1
softly,after,1
it,Mouse,1
Mouse,dear,1
dear,Do,1
Do,come,1
we,wont,1
about,cats,1
cats,or,1
or,dogs,1
dogs,either,1
either,if,1
them,When,1
Mouse,heard,1
heard,this,1
turned,round,1
and,swam,1
swam,slowly,1
her,its,1
face,was,1
quite,pale,1
pale,with,1
passion,Alice,1
voice,Let,1
us,get,1
shore,and,1
then,Ill,1
my,history,1
history,and,1
and,youll,1
youll,understand,1
understand,why,1
I,hate,1
hate,cats,1
cats,and,1
and,dogs,1
dogs,It,1
was,high,1
go,for,1
pool,was,1
getting,quite,1
quite,crowded,1
crowded,with,1
and,animals,1
animals,that,1
were,a,1
a,Duck,1
Duck,and,1
a,Dodo,1
Dodo,a,1
a,Lory,1
Lory,and,1
an,Eaglet,1
Eaglet,and,1
and,several,1
several,other,1
other,curious,1
curious,creatures,1
creatures,Alice,1
Alice,led,1
led,the,1
party,swam,1
swam,to,1
shore,CHAPTER,1
CHAPTER,III,1
III,A,1
A,CaucusRace,1
CaucusRace,and,1
a,Long,1
Long,Tale,1
Tale,They,1
were,indeed,1
indeed,a,1
a,queerlooking,1
queerlooking,party,1
party,that,1
that,assembled,1
assembled,on,1
the,bankthe,1
bankthe,birds,1
birds,with,1
with,draggled,1
draggled,feathers,1
feathers,the,1
the,animals,1
animals,with,1
their,fur,1
fur,clinging,1
clinging,close,1
all,dripping,1
dripping,wet,1
wet,cross,1
cross,and,1
and,uncomfortable,1
question,of,1
course,was,1
was,how,1
again,they,1
a,consultation,1
consultation,about,1
natural,to,1
herself,talking,1
talking,familiarly,1
familiarly,with,1
them,as,1
had,known,1
known,them,1
life,Indeed,1
Indeed,she,1
long,argument,1
argument,with,1
Lory,who,1
who,at,1
last,turned,1
turned,sulky,1
sulky,and,1
and,would,1
would,only,1
only,say,1
am,older,1
than,you,1
and,must,1
must,know,1
know,better,1
better,and,1
Alice,would,1
allow,without,1
without,knowing,1
knowing,how,1
how,old,1
old,it,1
Lory,positively,1
positively,refused,1
refused,to,1
tell,its,1
its,age,1
age,there,1
said,At,1
a,person,1
person,of,1
authority,among,1
them,called,1
out,Sit,1
Sit,down,1
and,listen,1
me,ILL,1
ILL,soon,1
soon,make,1
you,dry,1
dry,enough,1
enough,They,1
all,sat,1
large,ring,1
ring,with,1
middle,Alice,1
Alice,kept,1
eyes,anxiously,1
anxiously,fixed,1
fixed,on,1
would,catch,1
a,bad,1
bad,cold,1
cold,if,1
dry,very,1
soon,Ahem,1
Ahem,said,1
Mouse,with,1
an,important,1
important,air,1
air,are,1
you,all,1
all,ready,1
ready,This,1
the,driest,1
driest,thing,1
know,Silence,1
Silence,all,1
round,if,1
please,William,1
Conqueror,whose,1
whose,cause,1
cause,was,1
was,favoured,1
favoured,by,1
the,pope,1
pope,was,1
soon,submitted,1
submitted,to,1
English,who,1
who,wanted,1
wanted,leaders,1
leaders,and,1
been,of,1
of,late,1
late,much,1
much,accustomed,1
accustomed,to,1
to,usurpation,1
usurpation,and,1
and,conquest,1
conquest,Edwin,1
Northumbria,Ugh,1
Ugh,said,1
Lory,with,1
a,shiver,1
shiver,I,1
Mouse,frowning,1
frowning,but,1
politely,Did,1
you,speak,1
speak,Not,1
Lory,hastily,1
thought,you,1
Mouse,I,1
I,proceed,1
proceed,Edwin,1
Northumbria,declared,1
declared,for,1
for,him,1
even,Stigand,1
Stigand,the,1
the,patriotic,1
patriotic,archbishop,1
archbishop,of,1
of,Canterbury,1
Canterbury,found,1
advisable,Found,1
Found,WHAT,1
WHAT,said,1
Duck,Found,1
Found,IT,1
IT,the,1
Mouse,replied,1
rather,crossly,1
crossly,of,1
means,I,1
means,well,1
enough,when,1
I,find,1
Duck,its,1
its,generally,1
frog,or,1
a,worm,1
worm,The,1
The,question,1
the,archbishop,1
archbishop,find,1
find,The,1
not,notice,1
this,question,1
question,but,1
but,hurriedly,1
hurriedly,went,1
on,found,1
advisable,to,1
with,Edgar,1
Edgar,Atheling,1
Atheling,to,1
meet,William,1
William,and,1
and,offer,1
offer,him,1
the,crown,1
crown,Williams,1
Williams,conduct,1
conduct,at,1
was,moderate,1
moderate,But,1
the,insolence,1
insolence,of,1
his,Normans,1
Normans,How,1
on,now,1
now,my,1
dear,it,1
it,continued,1
continued,turning,1
spoke,As,1
As,wet,1
wet,as,1
ever,said,1
tone,it,1
doesnt,seem,1
to,dry,1
dry,me,1
all,In,1
In,that,1
case,said,1
solemnly,rising,1
rising,to,1
I,move,1
move,that,1
the,meeting,1
meeting,adjourn,1
adjourn,for,1
the,immediate,1
immediate,adoption,1
adoption,of,1
more,energetic,1
energetic,remedies,1
remedies,Speak,1
Speak,English,1
English,said,1
Eaglet,I,1
half,those,1
those,long,1
long,words,1
words,and,1
and,whats,1
whats,more,1
more,I,1
believe,you,1
do,either,1
either,And,1
Eaglet,bent,1
bent,down,1
down,its,1
to,hide,1
hide,a,1
smile,some,1
other,birds,1
birds,tittered,1
tittered,audibly,1
audibly,What,1
What,I,1
say,said,1
Dodo,in,1
tone,was,1
best,thing,1
get,us,1
us,dry,1
dry,would,1
Caucusrace,What,1
Caucusrace,said,1
Alice,not,1
wanted,much,1
much,to,1
know,but,1
Dodo,had,1
had,paused,1
paused,as,1
it,thought,1
that,SOMEBODY,1
SOMEBODY,ought,1
speak,and,1
one,else,1
else,seemed,1
seemed,inclined,1
inclined,to,1
anything,Why,1
Dodo,the,1
And,as,1
might,like,1
thing,yourself,1
yourself,some,1
some,winter,1
winter,day,1
day,I,1
will,tell,1
Dodo,managed,1
managed,it,1
it,First,1
First,it,1
it,marked,1
marked,out,1
a,racecourse,1
racecourse,in,1
of,circle,1
circle,the,1
the,exact,1
exact,shape,1
shape,doesnt,1
matter,it,1
then,all,1
party,were,1
were,placed,1
placed,along,1
the,course,1
course,here,1
there,There,1
no,One,1
One,two,1
two,three,1
three,and,1
and,away,1
away,but,1
running,when,1
liked,and,1
off,when,1
liked,so,1
not,easy,1
know,when,1
the,race,1
race,was,1
over,However,1
However,when,1
been,running,1
running,half,1
quite,dry,1
Dodo,suddenly,1
suddenly,called,1
The,race,1
race,is,1
is,over,1
it,panting,1
panting,and,1
and,asking,1
asking,But,1
who,has,1
won,This,1
This,question,1
question,the,1
Dodo,could,1
answer,without,1
deal,of,1
of,thought,1
sat,for,1
finger,pressed,1
pressed,upon,1
its,forehead,1
forehead,the,1
the,position,1
you,usually,1
usually,see,1
see,Shakespeare,1
Shakespeare,in,1
the,pictures,1
pictures,of,1
of,him,1
him,while,1
rest,waited,1
waited,in,1
silence,At,1
Dodo,said,1
said,EVERYBODY,1
EVERYBODY,has,1
won,and,1
all,must,1
have,prizes,1
prizes,But,1
the,prizes,1
prizes,quite,1
a,chorus,1
of,voices,1
voices,asked,1
asked,Why,1
SHE,of,1
course,said,1
Dodo,pointing,1
finger,and,1
party,at,1
once,crowded,1
her,calling,1
calling,out,1
a,confused,1
confused,way,1
way,Prizes,1
Prizes,Prizes,1
Prizes,Alice,1
in,despair,1
despair,she,1
put,her,1
and,pulled,1
pulled,out,1
a,box,1
box,of,1
of,comfits,1
comfits,luckily,1
luckily,the,1
the,salt,1
water,had,1
not,got,1
handed,them,1
them,round,1
round,as,1
as,prizes,1
prizes,There,1
exactly,one,1
one,apiece,1
apiece,all,1
round,But,1
she,must,1
a,prize,1
prize,herself,1
herself,you,1
Mouse,Of,1
Dodo,replied,1
gravely,What,1
else,have,1
you,got,1
your,pocket,1
pocket,he,1
on,turning,1
Alice,Only,1
Only,a,1
a,thimble,1
thimble,said,1
Alice,sadly,1
sadly,Hand,1
Hand,it,1
over,here,1
Dodo,Then,1
her,once,1
once,more,1
more,while,1
solemnly,presented,1
presented,the,1
thimble,saying,1
saying,We,1
We,beg,1
your,acceptance,1
acceptance,of,1
this,elegant,1
elegant,thimble,1
thimble,and,1
finished,this,1
this,short,1
short,speech,1
speech,they,1
all,cheered,1
cheered,Alice,1
thing,very,1
very,absurd,1
absurd,but,1
grave,that,1
to,laugh,1
laugh,and,1
say,she,1
she,simply,1
simply,bowed,1
and,took,1
thimble,looking,1
looking,as,1
as,solemn,1
solemn,as,1
eat,the,1
the,comfits,1
comfits,this,1
this,caused,1
caused,some,1
some,noise,1
noise,and,1
and,confusion,1
confusion,as,1
the,large,1
large,birds,1
birds,complained,1
complained,that,1
they,could,1
not,taste,1
taste,theirs,1
theirs,and,1
the,small,1
small,ones,1
ones,choked,1
choked,and,1
be,patted,1
patted,on,1
back,However,1
However,it,1
a,ring,1
ring,and,1
and,begged,1
begged,the,1
tell,them,1
them,something,1
something,more,1
You,promised,1
promised,to,1
me,your,1
history,you,1
and,why,1
you,hateC,1
hateC,and,1
and,D,1
D,she,1
whisper,half,1
half,afraid,1
be,offended,1
offended,again,1
again,Mine,1
Mine,is,1
a,sad,1
sad,tale,1
tale,said,1
Mouse,turning,1
and,sighing,1
sighing,It,1
long,tail,1
tail,certainly,1
Alice,looking,1
with,wonder,1
wonder,at,1
the,Mouses,1
Mouses,tail,1
tail,but,1
but,why,1
why,do,1
it,sad,1
sad,And,1
on,puzzling,1
puzzling,about,1
speaking,so,1
her,idea,1
the,tale,1
tale,was,1
was,something,1
like,this,1
this,Fury,1
Fury,said,1
mouse,That,1
That,he,1
he,met,1
house,Let,1
us,both,1
both,go,1
to,law,1
law,I,1
will,prosecute,1
prosecute,YOUCome,1
YOUCome,Ill,1
Ill,take,1
take,no,1
no,denial,1
denial,We,1
trial,For,1
For,really,1
really,this,1
morning,Ive,1
Ive,nothing,1
do,Said,1
Said,the,1
mouse,to,1
the,cur,1
cur,Such,1
Such,a,1
trial,dear,1
dear,Sir,1
Sir,With,1
With,no,1
no,jury,1
jury,or,1
or,judge,1
judge,would,1
be,wasting,1
wasting,our,1
our,breath,1
breath,Ill,1
be,judge,1
judge,Ill,1
be,jury,1
jury,Said,1
Said,cunning,1
cunning,old,1
old,Fury,1
Fury,Ill,1
whole,cause,1
cause,and,1
and,condemn,1
condemn,you,1
to,death,1
death,You,1
not,attending,1
attending,said,1
Alice,severely,1
severely,What,1
you,thinking,1
of,I,1
humbly,you,1
the,fifth,1
fifth,bend,1
bend,I,1
had,NOT,1
NOT,cried,1
Mouse,sharply,1
sharply,and,1
angrily,A,1
A,knot,1
knot,said,1
Alice,always,1
make,herself,1
herself,useful,1
useful,and,1
her,Oh,1
Oh,do,1
do,let,1
me,help,1
help,to,1
to,undo,1
undo,it,1
shall,do,1
do,nothing,1
Mouse,getting,1
walking,away,1
away,You,1
You,insult,1
insult,me,1
me,by,1
by,talking,1
talking,such,1
such,nonsense,1
nonsense,I,1
didnt,mean,1
mean,it,1
Alice,But,1
But,youre,1
youre,so,1
offended,you,1
know,The,1
only,growled,1
growled,in,1
reply,Please,1
Please,come,1
and,finish,1
finish,your,1
your,story,1
story,Alice,1
others,all,1
all,joined,1
joined,in,1
in,chorus,1
chorus,Yes,1
do,but,1
only,shook,1
walked,a,1
little,quicker,1
quicker,What,1
pity,it,1
it,wouldnt,1
wouldnt,stay,1
stay,sighed,1
Lory,as,1
old,Crab,1
Crab,took,1
of,saying,1
her,daughter,1
daughter,Ah,1
Ah,my,1
dear,Let,1
Let,this,1
this,be,1
a,lesson,1
lesson,to,1
never,to,1
to,lose,1
lose,YOUR,1
YOUR,temper,1
temper,Hold,1
tongue,Ma,1
Ma,said,1
young,Crab,1
Crab,a,1
little,snappishly,1
snappishly,Youre,1
Youre,enough,1
the,patience,1
patience,of,1
of,an,1
an,oyster,1
oyster,I,1
had,our,1
our,Dinah,1
Dinah,here,1
Alice,aloud,1
aloud,addressing,1
addressing,nobody,1
nobody,in,1
particular,Shed,1
Shed,soon,1
soon,fetch,1
back,And,1
is,Dinah,1
Dinah,if,1
might,venture,1
ask,the,1
question,said,1
Lory,Alice,1
replied,eagerly,1
eagerly,for,1
was,always,1
her,pet,1
pet,Dinahs,1
Dinahs,our,1
cat,And,1
And,shes,1
catching,mice,1
mice,you,1
oh,I,1
her,after,1
birds,Why,1
Why,shell,1
shell,eat,1
little,bird,1
bird,as,1
as,look,1
it,This,1
This,speech,1
speech,caused,1
caused,a,1
a,remarkable,1
remarkable,sensation,1
sensation,among,1
party,Some,1
birds,hurried,1
once,one,1
one,old,1
old,Magpie,1
Magpie,began,1
began,wrapping,1
wrapping,itself,1
carefully,remarking,1
remarking,I,1
I,really,1
really,must,1
getting,home,1
home,the,1
the,nightair,1
nightair,doesnt,1
doesnt,suit,1
suit,my,1
my,throat,1
throat,and,1
a,Canary,1
Canary,called,1
its,children,1
children,Come,1
Come,away,1
away,my,1
my,dears,1
dears,Its,1
Its,high,1
time,you,1
all,in,1
in,bed,1
bed,On,1
On,various,1
various,pretexts,1
pretexts,they,1
all,moved,1
moved,off,1
soon,left,1
left,alone,1
alone,I,1
hadnt,mentioned,1
mentioned,Dinah,1
Dinah,she,1
tone,Nobody,1
Nobody,seems,1
to,like,1
like,her,1
her,down,1
sure,shes,1
shes,the,1
best,cat,1
cat,in,1
world,Oh,1
dear,Dinah,1
shall,ever,1
you,any,1
more,And,1
here,poor,1
very,lonely,1
lonely,and,1
and,lowspirited,1
lowspirited,In,1
little,while,1
while,however,1
she,again,1
again,heard,1
of,footsteps,1
footsteps,in,1
up,eagerly,1
eagerly,half,1
Mouse,had,1
had,changed,1
changed,his,1
his,mind,1
mind,and,1
coming,back,1
to,finish,1
finish,his,1
his,story,1
story,CHAPTER,1
CHAPTER,IV,1
IV,The,1
Rabbit,Sends,1
Sends,in,1
a,Little,1
Little,Bill,1
Bill,It,1
Rabbit,trotting,1
trotting,slowly,1
went,as,1
had,lost,1
lost,something,1
something,and,1
it,muttering,1
itself,The,1
Duchess,The,1
dear,paws,1
paws,Oh,1
my,fur,1
fur,and,1
whiskers,Shell,1
Shell,get,1
get,me,1
me,executed,1
executed,as,1
as,sure,1
sure,as,1
as,ferrets,1
ferrets,are,1
are,ferrets,1
ferrets,Where,1
Where,CAN,1
have,dropped,1
dropped,them,1
wonder,Alice,1
guessed,in,1
the,pair,1
very,goodnaturedly,1
goodnaturedly,began,1
began,hunting,1
them,but,1
be,seeneverything,1
seeneverything,seemed,1
have,changed,1
changed,since,1
since,her,1
her,swim,1
swim,in,1
great,hall,1
hall,with,1
table,and,1
door,had,1
had,vanished,1
vanished,completely,1
completely,Very,1
Very,soon,1
soon,the,1
Rabbit,noticed,1
noticed,Alice,1
went,hunting,1
angry,tone,1
Why,Mary,1
Ann,what,1
what,ARE,1
you,doing,1
doing,out,1
here,Run,1
Run,home,1
home,this,1
moment,and,1
